# Cumulative H-alpha spectrum from 84 timesteps
# Total events: 419
# Velocity[m/s]  Wavelength[nm]  Counts  Intensity
1.075000e+04  656.303530  0.0  0.000000e+00
1.125000e+04  656.304630  1.0  2.386635e-03
1.175000e+04  656.305720  0.0  0.000000e+00
1.225000e+04  656.306820  1.0  2.386635e-03
1.275000e+04  656.307910  4.0  9.546539e-03
1.325000e+04  656.309010  2.0  4.773270e-03
1.375000e+04  656.310100  1.0  2.386635e-03
1.425000e+04  656.311190  1.0  2.386635e-03
1.475000e+04  656.312290  2.0  4.773270e-03
1.525000e+04  656.313380  1.0  2.386635e-03
1.575000e+04  656.314480  2.0  4.773270e-03
1.625000e+04  656.315570  1.0  2.386635e-03
1.675000e+04  656.316670  1.0  2.386635e-03
1.725000e+04  656.317760  4.0  9.546539e-03
1.775000e+04  656.318860  1.0  2.386635e-03
1.825000e+04  656.319950  3.0  7.159905e-03
1.875000e+04  656.321040  7.0  1.670644e-02
1.925000e+04  656.322140  1.0  2.386635e-03
1.975000e+04  656.323230  1.0  2.386635e-03
2.025000e+04  656.324330  3.0  7.159905e-03
2.075000e+04  656.325420  2.0  4.773270e-03
2.125000e+04  656.326520  2.0  4.773270e-03
2.175000e+04  656.327610  1.0  2.386635e-03
2.225000e+04  656.328710  3.0  7.159905e-03
2.275000e+04  656.329800  4.0  9.546539e-03
2.325000e+04  656.330900  1.0  2.386635e-03
2.375000e+04  656.331990  1.0  2.386635e-03
2.425000e+04  656.333080  2.0  4.773270e-03
2.475000e+04  656.334180  1.0  2.386635e-03
2.525000e+04  656.335270  4.0  9.546539e-03
2.575000e+04  656.336370  0.0  0.000000e+00
2.625000e+04  656.337460  2.0  4.773270e-03
2.675000e+04  656.338560  4.0  9.546539e-03
2.725000e+04  656.339650  2.0  4.773270e-03
2.775000e+04  656.340750  0.0  0.000000e+00
2.825000e+04  656.341840  0.0  0.000000e+00
2.875000e+04  656.342940  3.0  7.159905e-03
2.925000e+04  656.344030  2.0  4.773270e-03
2.975000e+04  656.345120  3.0  7.159905e-03
3.025000e+04  656.346220  1.0  2.386635e-03
3.075000e+04  656.347310  4.0  9.546539e-03
3.125000e+04  656.348410  2.0  4.773270e-03
3.175000e+04  656.349500  0.0  0.000000e+00
3.225000e+04  656.350600  4.0  9.546539e-03
3.275000e+04  656.351690  0.0  0.000000e+00
3.325000e+04  656.352790  4.0  9.546539e-03
3.375000e+04  656.353880  3.0  7.159905e-03
3.425000e+04  656.354980  2.0  4.773270e-03
3.475000e+04  656.356070  2.0  4.773270e-03
3.525000e+04  656.357160  1.0  2.386635e-03
3.575000e+04  656.358260  3.0  7.159905e-03
3.625000e+04  656.359350  1.0  2.386635e-03
3.675000e+04  656.360450  2.0  4.773270e-03
3.725000e+04  656.361540  3.0  7.159905e-03
3.775000e+04  656.362640  4.0  9.546539e-03
3.825000e+04  656.363730  2.0  4.773270e-03
3.875000e+04  656.364830  3.0  7.159905e-03
3.925000e+04  656.365920  2.0  4.773270e-03
3.975000e+04  656.367020  3.0  7.159905e-03
4.025000e+04  656.368110  1.0  2.386635e-03
4.075000e+04  656.369200  0.0  0.000000e+00
4.125000e+04  656.370300  2.0  4.773270e-03
4.175000e+04  656.371390  5.0  1.193317e-02
4.225000e+04  656.372490  2.0  4.773270e-03
4.275000e+04  656.373580  3.0  7.159905e-03
4.325000e+04  656.374680  1.0  2.386635e-03
4.375000e+04  656.375770  0.0  0.000000e+00
4.425000e+04  656.376870  2.0  4.773270e-03
4.475000e+04  656.377960  2.0  4.773270e-03
4.525000e+04  656.379050  2.0  4.773270e-03
4.575000e+04  656.380150  2.0  4.773270e-03
4.625000e+04  656.381240  1.0  2.386635e-03
4.675000e+04  656.382340  1.0  2.386635e-03
4.725000e+04  656.383430  2.0  4.773270e-03
4.775000e+04  656.384530  0.0  0.000000e+00
4.825000e+04  656.385620  3.0  7.159905e-03
4.875000e+04  656.386720  1.0  2.386635e-03
4.925000e+04  656.387810  1.0  2.386635e-03
4.975000e+04  656.388910  5.0  1.193317e-02
