# LXCat-format cross section (two columns)
# Process: e + H2 -> e + H(1s) + H(n=3)   (Hα proxy via H(n=3)->Hα)
# Units: Energy [eV], Cross section [m^2]
# Threshold Eth = 19.0 eV (sigma=0 below Eth)
# Fit model (Eth..1 keV): ln(sigma) = sum_{i=0..8} a_i * (ln(E))^i
# Extrapolation (1 keV..100 keV): sigma(E) = sigma(1 keV) * (1 keV / E)  (1/E decay)
# Columns: E_eV    sigma_m2
--------------------------------------------------
 1.82946023e+02   1.12684847e-18
 1.85767061e+02   1.11247786e-18
 1.88631601e+02   1.09821842e-18
 1.91540311e+02   1.08407754e-18
 1.94493874e+02   1.07006217e-18
 1.97492982e+02   1.05617875e-18
 2.00538335e+02   1.04243326e-18
 2.03630649e+02   1.02883121e-18
 2.06770646e+02   1.01537766e-18
 2.09959061e+02   1.00207720e-18
 2.13196643e+02   9.88933995e-19
 2.16484148e+02   9.75951760e-19
 2.19822347e+02   9.63133798e-19
 2.23212021e+02   9.50483001e-19
 2.26653963e+02   9.38001858e-19
 2.30148981e+02   9.25692476e-19
 2.33697892e+02   9.13556586e-19
 2.37301528e+02   9.01595559e-19
 2.40960732e+02   8.89810420e-19
 2.44676361e+02   8.78201861e-19
 2.48449285e+02   8.66770255e-19
 2.52280388e+02   8.55515670e-19
 2.56170567e+02   8.44437881e-19
 2.60120733e+02   8.33536389e-19
 2.64131810e+02   8.22810428e-19
 2.68204739e+02   8.12258986e-19
 2.72340472e+02   8.01880812e-19
 2.76539978e+02   7.91674434e-19
 2.80804242e+02   7.81638170e-19
 2.85134260e+02   7.71770141e-19
 2.89531048e+02   7.62068285e-19
 2.93995634e+02   7.52530368e-19
 2.98529064e+02   7.43153998e-19
 3.03132400e+02   7.33936636e-19
 3.07806720e+02   7.24875605e-19
 3.12553119e+02   7.15968106e-19
 3.17372707e+02   7.07211225e-19
 3.22266613e+02   6.98601949e-19
 3.27235984e+02   6.90137167e-19
 3.32281982e+02   6.81813691e-19
 3.37405790e+02   6.73628258e-19
 3.42608608e+02   6.65577541e-19
 3.47891654e+02   6.57658163e-19
 3.53256164e+02   6.49866699e-19
 3.58703395e+02   6.42199688e-19
 3.64234623e+02   6.34653642e-19
 3.69851143e+02   6.27225055e-19
 3.75554270e+02   6.19910405e-19
 3.81345340e+02   6.12706168e-19
 3.87225708e+02   6.05608825e-19
 3.93196752e+02   5.98614864e-19
 3.99259869e+02   5.91720793e-19
 4.05416481e+02   5.84923140e-19
 4.11668027e+02   5.78218469e-19
 4.18015973e+02   5.71603376e-19
 4.24461805e+02   5.65074503e-19
 4.31007032e+02   5.58628538e-19
 4.37653186e+02   5.52262227e-19
 4.44401825e+02   5.45972373e-19
 4.51254528e+02   5.39755846e-19
 4.58212900e+02   5.33609587e-19
 4.65278570e+02   5.27530610e-19
 4.72453194e+02   5.21516013e-19
 4.79738451e+02   5.15562976e-19
 4.87136047e+02   5.09668770e-19
 4.94647714e+02   5.03830757e-19
 5.02275212e+02   4.98046399e-19
 5.10020326e+02   4.92313258e-19
 5.17884870e+02   4.86628999e-19
 5.25870686e+02   4.80991396e-19
 5.33979644e+02   4.75398334e-19
 5.42213642e+02   4.69847811e-19
 5.50574609e+02   4.64337939e-19
 5.59064503e+02   4.58866950e-19
 5.67685312e+02   4.53433195e-19
 5.76439053e+02   4.48035147e-19
 5.85327778e+02   4.42671400e-19
 5.94353568e+02   4.37340672e-19
 6.03518536e+02   4.32041806e-19
 6.12824828e+02   4.26773770e-19
 6.22274624e+02   4.21535653e-19
 6.31870137e+02   4.16326671e-19
 6.41613612e+02   4.11146163e-19
 6.51507333e+02   4.05993588e-19
 6.61553615e+02   4.00868527e-19
 6.71754812e+02   3.95770681e-19
 6.82113312e+02   3.90699864e-19
 6.92631540e+02   3.85656007e-19
 7.03311961e+02   3.80639152e-19
 7.14157074e+02   3.75649448e-19
 7.25169419e+02   3.70687148e-19
 7.36351575e+02   3.65752607e-19
 7.47706161e+02   3.60846276e-19
 7.59235835e+02   3.55968697e-19
 7.70943298e+02   3.51120501e-19
 7.82831290e+02   3.46302401e-19
 7.94902596e+02   3.41515184e-19
 8.07160042e+02   3.36759713e-19
 8.19606498e+02   3.32036914e-19
 8.32244880e+02   3.27347775e-19
 8.45078146e+02   3.22693335e-19
 8.58109303e+02   3.18074685e-19
 8.71341400e+02   3.13492956e-19
 8.84777537e+02   3.08949313e-19
 8.98420860e+02   3.04444951e-19
 9.12274564e+02   2.99981090e-19
 9.26341893e+02   2.95558964e-19
 9.40626141e+02   2.91179816e-19
 9.55130653e+02   2.86844896e-19
 9.69858825e+02   2.82555449e-19
 9.84814107e+02   2.78312711e-19
 1.00000000e+03   2.74117905e-19
 1.02125082e+03   2.68413888e-19
 1.04295325e+03   2.62828565e-19
 1.06511686e+03   2.57359464e-19
 1.08775147e+03   2.52004167e-19
 1.11086709e+03   2.46760308e-19
 1.13447393e+03   2.41625565e-19
 1.15858244e+03   2.36597670e-19
 1.18320327e+03   2.31674398e-19
 1.20834731e+03   2.26853572e-19
 1.23402569e+03   2.22133062e-19
 1.26024975e+03   2.17510778e-19
 1.28703110e+03   2.12984678e-19
 1.31438157e+03   2.08552760e-19
 1.34231326e+03   2.04213064e-19
 1.37083853e+03   1.99963671e-19
 1.39996997e+03   1.95802703e-19
 1.42972049e+03   1.91728318e-19
 1.46010323e+03   1.87738715e-19
 1.49113163e+03   1.83832131e-19
 1.52281940e+03   1.80006837e-19
 1.55518057e+03   1.76261143e-19
 1.58822944e+03   1.72593391e-19
 1.62198062e+03   1.69001960e-19
 1.65644905e+03   1.65485262e-19
 1.69164996e+03   1.62041741e-19
 1.72759891e+03   1.58669875e-19
 1.76431182e+03   1.55368174e-19
 1.80180490e+03   1.52135176e-19
 1.84009473e+03   1.48969452e-19
 1.87919826e+03   1.45869603e-19
 1.91913278e+03   1.42834257e-19
 1.95991593e+03   1.39862073e-19
 2.00156576e+03   1.36951736e-19
 2.04410068e+03   1.34101958e-19
 2.08753951e+03   1.31311481e-19
 2.13190144e+03   1.28579070e-19
 2.17720610e+03   1.25903516e-19
 2.22347353e+03   1.23283637e-19
 2.27072417e+03   1.20718275e-19
 2.31897894e+03   1.18206293e-19
 2.36825915e+03   1.15746583e-19
 2.41858661e+03   1.13338056e-19
 2.46998357e+03   1.10979647e-19
 2.52247275e+03   1.08670313e-19
 2.57607738e+03   1.06409034e-19
 2.63082115e+03   1.04194808e-19
 2.68672827e+03   1.02026658e-19
 2.74382346e+03   9.99036232e-20
 2.80213197e+03   9.78247662e-20
 2.86167958e+03   9.57891675e-20
 2.92249263e+03   9.37959267e-20
 2.98459801e+03   9.18441625e-20
 3.04802318e+03   8.99330119e-20
 3.11279618e+03   8.80616297e-20
 3.17894567e+03   8.62291884e-20
 3.24650088e+03   8.44348776e-20
 3.31549170e+03   8.26779040e-20
 3.38594863e+03   8.09574906e-20
 3.45790283e+03   7.92728766e-20
 3.53138612e+03   7.76233171e-20
 3.60643098e+03   7.60080827e-20
 3.68307062e+03   7.44264591e-20
 3.76133890e+03   7.28777469e-20
 3.84127045e+03   7.13612613e-20
 3.92290062e+03   6.98763316e-20
 4.00626549e+03   6.84223013e-20
 4.09140193e+03   6.69985274e-20
 4.17834760e+03   6.56043802e-20
 4.26714093e+03   6.42392434e-20
 4.35782119e+03   6.29025131e-20
 4.45042848e+03   6.15935984e-20
 4.54500376e+03   6.03119203e-20
 4.64158883e+03   5.90569123e-20
 4.74022642e+03   5.78280192e-20
 4.84096014e+03   5.66246977e-20
 4.94383454e+03   5.54464157e-20
 5.04889509e+03   5.42926520e-20
 5.15618828e+03   5.31628967e-20
 5.26576153e+03   5.20566499e-20
 5.37766330e+03   5.09734227e-20
 5.49194308e+03   4.99127359e-20
 5.60865140e+03   4.88741206e-20
 5.72783986e+03   4.78571174e-20
 5.84956118e+03   4.68612766e-20
 5.97386918e+03   4.58861579e-20
 6.10081882e+03   4.49313301e-20
 6.23046625e+03   4.39963710e-20
 6.36286880e+03   4.30808670e-20
 6.49808500e+03   4.21844135e-20
 6.63617467e+03   4.13066139e-20
 6.77719885e+03   4.04470801e-20
 6.92121991e+03   3.96054320e-20
 7.06830154e+03   3.87812975e-20
 7.21850877e+03   3.79743120e-20
 7.37190803e+03   3.71841189e-20
 7.52856716e+03   3.64103685e-20
