# Cumulative H-alpha spectrum from 19 timesteps
# Total events: 36
# Velocity[m/s]  Wavelength[nm]  Counts  Intensity
4.945000e+05  657.362490  0.0  0.000000e+00
5.175000e+05  657.412840  0.0  0.000000e+00
5.405000e+05  657.463190  0.0  0.000000e+00
5.635000e+05  657.513530  2.0  5.555556e-02
5.865000e+05  657.563880  0.0  0.000000e+00
6.095000e+05  657.614230  0.0  0.000000e+00
6.325000e+05  657.664580  0.0  0.000000e+00
6.555000e+05  657.714930  0.0  0.000000e+00
6.785000e+05  657.765280  0.0  0.000000e+00
7.015000e+05  657.815630  0.0  0.000000e+00
7.245000e+05  657.865970  0.0  0.000000e+00
7.475000e+05  657.916320  0.0  0.000000e+00
7.705000e+05  657.966670  0.0  0.000000e+00
7.935000e+05  658.017020  0.0  0.000000e+00
8.165000e+05  658.067370  0.0  0.000000e+00
8.395000e+05  658.117720  0.0  0.000000e+00
8.625000e+05  658.168060  0.0  0.000000e+00
8.855000e+05  658.218410  0.0  0.000000e+00
9.085000e+05  658.268760  0.0  0.000000e+00
9.315000e+05  658.319110  0.0  0.000000e+00
9.545000e+05  658.369460  0.0  0.000000e+00
9.775000e+05  658.419810  0.0  0.000000e+00
1.000500e+06  658.470150  0.0  0.000000e+00
1.023500e+06  658.520500  0.0  0.000000e+00
1.046500e+06  658.570850  0.0  0.000000e+00
1.069500e+06  658.621200  0.0  0.000000e+00
1.092500e+06  658.671550  0.0  0.000000e+00
1.115500e+06  658.721900  0.0  0.000000e+00
1.138500e+06  658.772240  0.0  0.000000e+00
1.161500e+06  658.822590  0.0  0.000000e+00
1.184500e+06  658.872940  0.0  0.000000e+00
1.207500e+06  658.923290  0.0  0.000000e+00
1.230500e+06  658.973640  0.0  0.000000e+00
1.253500e+06  659.023990  0.0  0.000000e+00
1.276500e+06  659.074330  0.0  0.000000e+00
1.299500e+06  659.124680  0.0  0.000000e+00
1.322500e+06  659.175030  0.0  0.000000e+00
1.345500e+06  659.225380  0.0  0.000000e+00
1.368500e+06  659.275730  0.0  0.000000e+00
1.391500e+06  659.326080  0.0  0.000000e+00
1.414500e+06  659.376420  0.0  0.000000e+00
1.437500e+06  659.426770  0.0  0.000000e+00
1.460500e+06  659.477120  0.0  0.000000e+00
1.483500e+06  659.527470  0.0  0.000000e+00
1.506500e+06  659.577820  0.0  0.000000e+00
1.529500e+06  659.628170  0.0  0.000000e+00
1.552500e+06  659.678510  0.0  0.000000e+00
1.575500e+06  659.728860  0.0  0.000000e+00
1.598500e+06  659.779210  0.0  0.000000e+00
1.621500e+06  659.829560  0.0  0.000000e+00
1.644500e+06  659.879910  0.0  0.000000e+00
1.667500e+06  659.930260  0.0  0.000000e+00
1.690500e+06  659.980600  0.0  0.000000e+00
1.713500e+06  660.030950  0.0  0.000000e+00
1.736500e+06  660.081300  0.0  0.000000e+00
1.759500e+06  660.131650  0.0  0.000000e+00
1.782500e+06  660.182000  0.0  0.000000e+00
1.805500e+06  660.232350  0.0  0.000000e+00
1.828500e+06  660.282700  0.0  0.000000e+00
1.851500e+06  660.333040  0.0  0.000000e+00
1.874500e+06  660.383390  0.0  0.000000e+00
1.897500e+06  660.433740  0.0  0.000000e+00
1.920500e+06  660.484090  0.0  0.000000e+00
1.943500e+06  660.534440  0.0  0.000000e+00
1.966500e+06  660.584790  0.0  0.000000e+00
1.989500e+06  660.635130  0.0  0.000000e+00
2.012500e+06  660.685480  0.0  0.000000e+00
2.035500e+06  660.735830  0.0  0.000000e+00
2.058500e+06  660.786180  0.0  0.000000e+00
2.081500e+06  660.836530  0.0  0.000000e+00
2.104500e+06  660.886880  0.0  0.000000e+00
2.127500e+06  660.937220  0.0  0.000000e+00
2.150500e+06  660.987570  0.0  0.000000e+00
2.173500e+06  661.037920  0.0  0.000000e+00
2.196500e+06  661.088270  0.0  0.000000e+00
2.219500e+06  661.138620  0.0  0.000000e+00
2.242500e+06  661.188970  0.0  0.000000e+00
2.265500e+06  661.239310  0.0  0.000000e+00
2.288500e+06  661.289660  0.0  0.000000e+00
